PM 1.0,PM 2.5,PM 10,temperature,gas,relative humidity,pressure,altitude,time
0,0,0,23.872578125,72935,1013.0884028273675,1.345493822096192,19.86875708171513,1676508559.6350372
0,0,0,23.8954296875,23578,1013.0953326505232,1.2877910147227334,20.000449933414174,1676508560.8294103
0,0,0,23.9403515625,32194,1013.097314260843,1.2712907276588603,20.20153297570261,1676508562.0233881
0,0,0,23.9837109375,38003,1013.0931309299225,1.3061241260933953,20.470967765839568,1676508563.2173982
0,0,0,24.0235546875,42512,1013.0882804381079,1.3465129280113952,20.709338825128444,1676508564.411988
0,0,0,24.0598828125,46266,1013.0845238380713,1.3777932811109361,20.874391928097335,1676508565.6064112
0,0,0,24.090546875,49055,1013.0817547229304,1.4008511324650108,20.902568477666165,1676508566.7999165
0,0,0,24.1149609375,51277,1013.0772271439124,1.4385514602269045,20.735939397043623,1676508567.9930432
0,0,0,24.1344921875,53642,1013.0820480808245,1.3984083992962681,20.50631371706754,1676508569.1870475
0,0,0,24.1512890625,55270,1013.0787328525834,1.4260136825933822,20.214175967361964,1676508570.379888
0,0,0,24.163984375,56923,1013.0772900805365,1.438027397461421,19.922475728853566,1676508571.5733738
0,0,0,24.1731640625,58555,1013.0699121040161,1.4994627564709118,19.63125656147252,1676508572.7669747
0,0,0,24.1813671875,59597,1013.0714423443636,1.486720633402544,19.325100272348084,1676508573.9607184
0,0,0,24.1895703125,60897,1013.0764914409749,1.4446775377875787,19.066320255309904,1676508575.1542625
0,0,0,24.195234375,61568,1013.0790140434133,1.4236722564908588,18.833792958691667,1676508576.347881
0,0,0,24.19875,63147,1013.0814292012868,1.4035616874878798,18.632554603564095,1676508577.5407612
0,0,0,24.1989453125,63772,1013.0799992997491,1.415468206120174,18.446927866651883,1676508578.734119
0,0,0,24.19796875,64808,1013.0748317167819,1.45849780184792,18.266672951978595,1676508579.9271348
0,0,0,24.1973828125,65467,1013.073842669954,1.4667334489809247,18.117540672428262,1676508581.120012
0,0,0,24.19796875,66139,1013.0730721341824,1.473149591277253,17.994322376868237,1676508582.313048
0,0,0,24.2096875,65775,1013.0752569461824,1.4549569813116925,17.943639388175264,1676508583.5053282
0,0,0,24.2337109375,63869,1013.075334930124,1.4543076210251837,18.28407125349958,1676508584.6985266
0,0,0,24.260078125,63338,1013.0828857567762,1.3914332404508079,19.179178868852127,1676508585.8913715
0,0,0,24.2954296875,63966,1013.0844800382937,1.3781579924355813,20.10781168855882,1676508587.084378
0,0,0,24.3321484375,65723,1013.0954161247314,1.287095948982866,20.780803561616246,1676508588.2806318
0,0,0,24.372578125,65775,1013.1002899459771,1.2465131206943714,21.077957003868107,1676508589.4728773
0,0,0,24.4235546875,65775,1013.1071143680545,1.1896884977413313,21.297348691652793,1676508590.6655667
0,0,0,24.4786328125,66559,1013.1102875546851,1.1632665661236297,21.580911090739544,1676508591.857825
0,0,0,24.533515625,67798,1013.1043156079279,1.2129927762991388,21.732659111088815,1676508593.0504413
0,0,0,24.5895703125,68352,1013.1108702580026,1.1584146220382574,21.662096619628553,1676508594.2450516
0,0,0,24.651484375,68352,1013.1061680600463,1.1975680615852402,21.60781318210637,1676508595.4388578
0,0,0,24.705390625,69199,1013.1073088169995,1.1880693925843033,21.664213306771238,1676508596.632719
0,0,0,24.763203125,68019,1013.1079819374695,1.1824645668656697,21.625542918457633,1676508597.8269784
0,0,0,24.81984375,67689,1013.1137084565901,1.1347820776426987,21.957985695765185,1676508599.021845
0,0,0,24.8735546875,67580,1013.1180027119593,1.0990256327423342,22.435061175792637,1676508600.2153373
0,0,0,24.92453125,68185,1013.1211958399762,1.072437888282588,22.92457172766603,1676508601.4082282
0,0,0,24.969453125,68971,1013.1176894529895,1.1016340033023375,23.249187131656186,1676508602.6019213
0,0,0,25.0126171875,69659,1013.1164943563215,1.111585057037734,23.32729485887957,1676508603.7954059
0,0,0,25.0532421875,69892,1013.1074850211305,1.1866022055259662,23.254906579756852,1676508604.9886227
0,0,0,25.1034375,68408,1013.1075575362061,1.1859983991955503,23.328143173945914,1676508606.1817153
0,0,0,25.14953125,69199,1013.1130377747645,1.140366572105398,23.81568630462845,1676508607.3748024
0,0,0,25.67453125,44879,1013.2083150613241,0.3470613946144896,24.964004374102714,1676508608.568179
0,0,0,26.5856640625,41055,1013.2271495689351,0.19024719822047897,32.24697728339698,1676508609.7641575
0,0,0,27.0221875,45811,1013.2199255264434,0.2503935628631182,41.09017244172316,1676508610.9571211
0,0,0,27.303828125,41708,1013.28725588194,-0.31017607147969084,47.79268095241309,1676508612.1498725
0,0,0,27.499921875,47096,1013.2581557585488,-0.06790204467095551,53.753228773657206,1676508613.3429337
0,0,0,27.78390625,42426,1013.2598819754139,-0.08227387668618524,57.9939253766114,1676508614.536679
0,0,0,27.8971875,47987,1013.2503895357769,-0.0032431511565667037,61.866570947266055,1676508615.7301524
0,0,0,28.01203125,45861,1013.2399223968132,0.08390327434066647,64.19489566648808,1676508616.923824
0,0,0,27.9973828125,49754,1013.2418479661151,0.06787147663521287,65.90917898320544,1676508618.1173484
0,0,0,27.9665234375,50934,1013.2412995408788,0.07243752242550916,66.81646127564458,1676508619.3110547
0,0,0,27.9415234375,52107,1013.2417482013961,0.06870209157365359,67.50432874958068,1676508620.5070536
0,0,0,27.9098828125,52466,1013.248726939269,0.010599106357668253,67.89849298613998,1676508621.702454
0,0,0,27.89875,52963,1013.247707476146,0.019086845945046615,67.980822672957,1676508622.8957162
0,0,0,27.7313671875,52499,1013.3130776410151,-0.5251512518212142,67.63078272882669,1676508624.0885725
