PM 1.0,PM 2.5,PM 10,temperature,gas,pressure,altitude,relative humidity,time
0,0,0,23.646796875,146544,997.7039100484667,130.24331958648816,32.743964996773585,1677108504.806249
0,0,0,23.6782421875,18415,997.6965029574599,130.3057657811593,31.455664363150902,1677108505.9993436
0,0,0,23.728828125,29374,997.6928288751166,130.3367406257594,30.355162513156422,1677108507.1930678
0,1,1,23.7844921875,39396,997.6888061533897,130.37065482742807,29.353031121318356,1677108508.38639
0,1,1,23.81125,48208,997.6823652024265,130.4249565296682,28.57830806967757,1677108509.5793684
0,1,1,23.8567578125,55052,997.6649357765782,130.57190015115697,28.08119803203764,1677108510.772717
1,1,1,23.9067578125,59767,997.6479378201159,130.71520815208268,28.07962051268044,1677108511.9655628
1,1,1,23.94953125,65723,997.6224186048015,130.9303617112267,28.528154693084723,1677108513.1575568
1,1,1,23.94953125,73062,997.5872578394298,131.2268108773867,28.87970951206214,1677108514.3500836
1,2,2,23.899921875,79514,997.580310325458,131.28538809826588,28.501866534776926,1677108515.5426621
1,2,2,23.8024609375,85174,997.5587650119015,131.4670472054044,27.760703834454766,1677108516.7351403
1,2,2,23.7364453125,89164,997.5280028261546,131.72642378923558,26.92158528300422,1677108517.9277442
2,3,3,23.6497265625,93442,997.5119771274002,131.86154975077528,26.21220870283655,1677108519.1208372
2,3,3,23.605390625,95466,997.4996925041761,131.96513279099239,25.678865850083394,1677108520.3136768
2,3,3,23.5450390625,96821,997.4818289889356,132.11575848174567,25.309621306660326,1677108521.5062304
2,3,3,23.5196484375,97214,997.4694371716486,132.2202479360398,25.085050430507795,1677108522.698755
2,4,4,23.5036328125,98125,997.453322219508,132.35613293165446,25.203357477068636,1677108523.8914218
2,4,4,23.4909375,97839,997.4409764221025,132.46023674723693,25.44712270114131,1677108525.083792
2,4,4,23.491328125,96264,997.4328426283298,132.52882413593994,26.052654201558394,1677108526.2760038
2,3,3,23.4938671875,98995,997.4177438216251,132.65614448840756,27.05166249242553,1677108527.4685981
1,3,3,23.4903515625,101886,997.4048654957088,132.76474191911078,27.813706617095033,1677108528.661033
0,2,2,23.481171875,104687,997.3895875415691,132.8935758637474,28.00145577648604,1677108529.85359
0,2,2,23.451484375,108837,997.3770686510877,132.9991447263257,27.83280834577948,1677108531.0453627
0,2,2,23.414765625,111148,997.3668969202778,133.0849213328133,27.40404984003943,1677108532.237623
0,2,2,23.37296875,114491,997.3588068552832,133.1531440845278,26.827782982349763,1677108533.4315195
0,2,2,23.317109375,117133,997.3431094792245,133.28551984799196,26.203761907469808,1677108534.6238956
0,2,2,23.2598828125,119472,997.3321497936829,133.3779437304532,25.517356174483645,1677108535.8160942
0,3,3,23.22375,119986,997.3123915926615,133.54456825748812,24.949918062705976,1677108537.008673
0,3,3,23.2063671875,117875,997.3045271358211,133.6108914057259,24.56990747931244,1677108538.2016337
0,3,3,23.2028515625,117215,997.2986747072579,133.66024683565496,24.8021978363598,1677108539.39472
0,2,2,23.1860546875,118794,997.2935406395726,133.70354428820494,25.21843268792468,1677108540.5879266
0,2,2,23.1594921875,120851,997.2844396218046,133.7802969113138,25.341453796015855,1677108541.7811472
0,2,2,23.1645703125,118375,997.2753344683016,133.85708498029928,25.434244892176373,1677108542.9739451
0,2,2,23.170234375,118626,997.2654485607138,133.94045816078514,25.974186870716736,1677108544.1666281
0,2,2,23.17765625,118794,997.2444410873079,134.11762771476245,26.538420013070805,1677108545.3600998
0,2,2,23.16515625,122801,997.228900712054,134.24869165331725,26.866929254369623,1677108546.5528839
0,2,2,23.14875,125000,997.2086135828923,134.41979110754053,26.79423254115349,1677108547.7455013
0,2,2,23.1266796875,128254,997.1859208186391,134.61118276765623,26.44138985113346,1677108548.9386263
0,2,2,23.1235546875,128945,997.1614052261589,134.81795219519978,25.965272793136933,1677108550.1321633
